#id	flamsteed	bayer	con 	ra	dec	mag
1787	27		Ori	052428.9	-005329	5.08
1788	28	Eta	Ori	052428.6	-022349	3.36
1789	25	Psi1	Ori	052444.8	+015047	4.95
1790	24	Gam	Ori	052507.9	+062059	1.64
1791	112	Bet	Tau	052617.5	+283627	1.65
1792				052428.4	-165834	5.65
1793				052324.0	-394043	5.71
1794				052654.3	+352726	6.15
1795				052648.9	+342330	5.94
1796				052651.3	+331546	6.15
1797				052339.0	-372012	6.82
1798	113		Tau	052605.7	+164201	6.25
1799				052501.6	-101945	5.61
1800				052531.2	-003239	6.57
1801		Kap	Pic	052222.1	-560804	6.11
1802	17		Cam	053010.2	+630402	5.42
1803				052547.0	+003115	6.16
1804				052708.3	+301231	5.74
1805	24	Phi	Aur	052738.9	+342833	5.07
1806				052602.4	-053106	6.23
1807				052638.8	+065209	6.42
1808	115		Tau	052710.1	+175744	5.42
1809				052713.8	+151528	6.16
1810	114		Tau	052738.1	+215613	4.88
1811	30	Psi2	Ori	052650.2	+030544	4.59
1812				052559.8	-194144	5.89
1813				052455.6	-441333	6.08
1814	116		Tau	052745.6	+155227	5.50
1815				051225.7	-813230	6.51
1816	117		Tau	052801.6	+171420	5.77
1817				052704.8	-115403	6.35
1818		The	Pic	052446.2	-521859	6.27
1819				052834.8	+134044	6.35
1820				052801.6	+011754	6.41
1821	118		Tau	052916.5	+250902	5.47
1822				052940.6	+291111	6.24
1823				052736.5	-212232	6.07
1824				053048.6	+412743	6.00
1825				053045.1	+394933	6.37
1826				052856.7	-031827	6.39
1827				052705.3	-405637	5.87
1828	18		Cam	053233.8	+571316	6.48
1829	9	Bet	Lep	052814.7	-204534	2.84
1830				052923.6	-032647	5.79
1831				053043.4	+222745	6.29
1832				053026.1	+152137	5.94
1833				052954.8	+014721	5.78
1834	31		Ori	052944.0	-010532	4.71
1835				052815.3	-371350	5.57
1836		Lam	Dor	052619.3	-585445	5.14
1837				053019.8	+041215	6.21
1838				052906.7	-300700	6.75
1839	32		Ori	053047.1	+055653	4.20
1840				053020.7	-072605	6.33
1841	NO	VA 1	891			
1842	33		Ori	053114.5	+031732	5.46
1843	25	Chi	Aur	053243.7	+321131	4.76
1844				053943.7	+750238	6.17
1845	119		Tau	053212.8	+183540	4.38
1846				053328.7	+420632	6.55
1847				053214.2	+170329	5.46
1848				053120.9	-064230	6.22
1849	10		Lep	053107.6	-205149	5.55
1850				053327.5	+324804	6.48
1851	34	Del	Ori	053200.5	-001704	6.85
1852	34	Del	Ori	053200.4	-001757	2.23
1853				053716.2	+664146	6.26
1854				053338.0	+344333	6.27
1855	36	Ups	Ori	053155.8	-071805	4.62
1856				053009.5	-470440	5.46
1857	19		Cam	053715.1	+640917	6.15
1858	120		Tau	053331.6	+183225	5.69
1859				052700.0	-683722	6.03
1860				053338.8	+202827	6.18
1861				053241.3	-013531	5.35
1862		Eps	Col	053112.7	-352814	3.87
1863				053307.2	-014306	6.46
1864	35		Ori	053354.3	+141820	5.64
1865	11	Alp	Lep	053243.8	-174920	2.58
1866				053635.2	+542544	5.73
1867				052917.4	-621852	6.59
1868				053331.4	-010922	5.34
1869				053615.9	+474255	6.11
1870				053136.1	-455531	5.86
1871				053357.6	+012428	6.59
1872	38		Ori	053416.7	+034601	5.36
1873				053403.9	-010208	6.22
1874				053404.0	-012814	5.93
1875	121		Tau	053527.1	+240222	5.38
1876	37	Phi1	Ori	053449.2	+092922	4.41
1877				053251.3	-383047	5.48
1878				053555.5	+273944	6.27
1879	39	Lam	Ori	053508.3	+095603	3.54
1880	39	Lam	Ori	053508.5	+095606	5.61
1881				053307.4	-350823	5.78
1882				053015.9	-635540	6.19
1883				053513.4	+101424	5.60
1884				053652.4	+401056	6.09
1885				060120.2	+851056	6.11
1886				053500.9	-060033	5.67
1887				053502.7	-060007	4.78
1888				053352.1	-295056	6.53
1889				053630.2	+255622	6.49
1890				053521.8	-042936	6.56
1891				053522.5	-042531	6.24
1892	42		Ori	053523.2	-045018	4.59
1893	41	The1	Ori	053515.9	-052314	6.73
1894	41	The1	Ori	053516.1	-052307	7.96
1895	41	The1	Ori	053516.5	-052323	5.13
1896	41	The1	Ori	053517.3	-052316	6.70
1897	43	The2	Ori	053522.9	-052458	5.08
1898				053531.1	-042153	6.38
1899	44	Iot	Ori	053526.0	-055436	2.77
1900				053535.8	-031510	6.40
1901	45		Ori	053539.5	-045121	5.26
1902				053708.8	+265527	5.83
1903	46	Eps	Ori	053612.8	-011207	1.70
1904				053745.7	+333333	6.33
1905	122		Tau	053703.8	+170225	5.54
1906				053615.0	-053853	6.54
1907	40	Phi2	Ori	053654.3	+091726	4.09
1908				053704.4	+110206	5.94
1909				053515.4	-330448	5.78
1910	123	Zet	Tau	053738.7	+210833	3.00
1911				053635.7	-060354	5.72
1912				053344.4	-545408	6.43
1913				053719.3	+085707	6.12
1914	26		Aur	053838.1	+302933	5.40
1915				053610.3	-284228	6.26
1916				054226.4	+654152	5.60
1917				053259.6	-641339	5.34
1918				053727.4	-055618	6.05
1919				053708.8	-114632	6.11
1920				053801.1	+073229	5.88
1921				053857.4	+263704	6.37
1922		Bet	Dor	053337.5	-622923	3.76
1923				053753.4	-044849	6.19
1924				053918.4	+291255	5.96
1925				054120.3	+532852	6.23
1926		Nu 1	Col	053716.5	-275217	6.16
1927				053602.7	-471850	6.11
1928	125		Tau	053944.2	+255349	5.18
1929				053927.0	+214546	6.34
1930				053502.4	-585216	6.75
1931	48	Sig	Ori	053844.8	-023600	3.81
1932				053847.1	-023539	6.65
1933				053837.8	-063426	5.96
1934	47	Ome	Ori	053911.1	+040717	4.57
1935		Nu 2	Col	053744.6	-284122	5.31
1936				053457.6	-611033	6.32
1937	49		Ori	053853.1	-071247	4.80
1938				054035.9	+312129	6.04
1939				054042.1	+315515	6.11
1940				053931.2	-033353	6.00
1941	24		Cam	054301.6	+563454	6.05
1942				053930.8	-094224	6.50
1943	23		Cam	054408.6	+612836	6.15
1944				053916.3	-175058	6.38
1945				054121.0	+292915	6.43
1946	126		Tau	054117.7	+163202	4.86
1947				053843.6	-404227	5.82
1948	50	Zet	Ori	054045.5	-015634	2.05
1949	50	Zet	Ori	054045.6	-015634	4.21
1950				054037.3	-024930	6.22
1951				054154.6	+231935	6.59
1952				054050.6	-010744	4.95
1953		Gam	Men	053152.9	-762028	5.19
1954				054203.9	+223937	6.36
1955				054105.6	+002016	5.93
1956		Alp	Col	053938.9	-340427	2.64
1957				054046.0	-102434	6.52
1958				053949.8	-323745	5.45
1959				054140.3	-025346	6.42
1960				053654.7	-663337	6.31
1961				054319.5	+231215	6.21
1962				054141.5	-164332	6.21
1963	51		Ori	054228.6	+012829	4.91
1964				053444.7	-734429	5.78
1965				054214.3	-173149	6.15
1966				054127.0	-332402	6.34
1967				054253.8	-064746	6.02
1968	12		Lep	054213.9	-222225	5.87
1969	26		Cam	054630.4	+560656	5.94
1970				054309.3	-013647	6.31
1971	27	Omi	Aur	054554.0	+494935	5.47
1972				054211.6	-303208	6.19
1973				054215.1	-344004	5.29
1974				054549.5	+403026	6.58
1975				054321.6	-183327	5.73
1976				054904.9	+624829	6.13
1977				054539.4	+204142	6.95
1978				054501.9	+040029	6.09
1979				054714.7	+423136	6.29
1980				054428.4	-200735	6.34
1981				054330.2	-392425	6.25
1982				054426.5	-222518	6.15
1983	13	Gam	Lep	054427.8	-222654	3.60
1984				054341.1	-454959	6.39
1985	129		Tau	054645.5	+154921	6.00
1986				054602.8	-041606	6.34
1987				054652.1	+093120	5.79
1988				054635.0	+011005	5.95
1989	131		Tau	054713.2	+142918	5.72
1990	130		Tau	054726.2	+174345	5.49
1991		Iot	Men	053536.3	-784915	6.05
1992	29		Cam	055034.0	+565508	6.54
1993	133		Tau	054742.9	+135359	5.29
1994				055255.5	+682817	6.20
1995	29	Tau	Aur	054910.5	+391052	4.52
1996		Mu	Col	054559.9	-321823	5.17
1997				054822.4	+205210	6.07
1998	14	Zet	Lep	054657.3	-144919	3.55
1999	52		Ori	054800.2	+062715	5.27
2000				054707.6	-161416	6.17
2001				054726.7	-103159	6.03
2002	132		Tau	054901.0	+243403	4.86
2003				055056.4	+513053	6.29
2004	53	Kap	Ori	054745.4	-094011	2.06
2005				054704.7	-283821	6.22
2006	30		Cam	055217.4	+585751	6.14
2007				054834.9	-040541	5.97
2008				054627.4	-463550	5.31
2009				054718.6	-354029	6.32
2010	134		Tau	054932.9	+123904	4.91
2011	31	Ups	Aur	055102.4	+371820	4.74
2012	32	Nu	Aur	055129.4	+390855	3.97
2013				055058.1	+275804	5.56
2014				055002.6	+095216	5.80
2015		Del	Dor	054446.4	-654408	4.35
2016	135		Tau	055028.9	+141820	5.52
2017				054758.1	-403909	6.61
2018				055125.7	+320730	6.25
2019				055013.1	+042524	5.97
2020		Bet	Pic	054717.1	-510359	3.85
2021				054936.5	-142901	5.49
2022		Pi	Men	053709.8	-802809	5.65
2023				054713.0	-542139	6.18
2024				055030.0	+020128	5.98
2025				055239.5	+393428	6.45
2026				054953.5	-225818	5.87
2027	31		Cam	055457.8	+595318	5.20
2028				055240.1	+335503	5.98
2029	30	Xi	Aur	055450.8	+554225	4.99
2030				055223.4	+195205	6.06
2031	55		Ori	055122.0	-073105	5.35
2032				054934.1	-445231	6.38
2033	137		Tau	055222.3	+141018	5.59
2034	136		Tau	055319.6	+273644	4.58
2035	15	Del	Lep	055119.3	-205245	3.81
2036				055128.6	-225534	6.17
2037	56		Ori	055226.4	+015118	4.78
2038				055319.1	+201757	6.71
2039				055207.6	-090229	5.97
2040		Bet	Col	055057.6	-354606	3.12
2041				055735.0	+660546	6.25
2042		Gam	Pic	054949.7	-561000	4.51
2043				055159.5	-292655	6.45
2044				055028.6	-524604	6.35
2045				055614.4	+514814	6.49
2046				055459.0	+314206	5.90
2047	54	Chi1	Ori	055422.9	+201634	4.41
2048				055413.4	+103513	6.12
2049				055053.2	-520632	5.17
2050				055432.2	+114545	6.59
2051				055415.7	+031331	6.31
2052	57		Ori	055456.7	+194459	5.92
2053				055233.2	-373752	5.63
2054				055704.9	+490146	6.47
2055				055247.7	-383133	6.70
2056		Lam	Col	055306.9	-334805	4.87
2057				055444.1	+005806	6.00
2058				055434.7	-040350	6.57
2059				053013.9	-844706	6.20
2060				055357.4	-193818	6.69
2061	58	Alp	Ori	055510.3	+072425	0.50
2062		Lam	Men	054748.1	-724208	6.53
2063				055549.3	+201030	5.4 
2064		Eps	Dor	054953.6	-665404	5.11
2065				055443.6	-114626	5.66
2066				055633.8	+285632	6.32
2067				055603.5	+135531	6.60
2068				055414.1	-290852	6.36
2069				055322.9	-425517	6.55
2070				055530.3	-043659	5.87
2071				055535.4	-044718	6.28
2072				055220.3	-570922	5.94
2073				055123.0	-640201	6.36
2074				055656.1	+241459	6.02
2075				055628.0	+093035	5.99
2076				055649.5	+113116	5.87
2077	33	Del	Aur	055931.6	+541705	3.72
2078				060509.3	+753509	6.40
2079				055945.7	+551915	6.44
2080				055948.1	+543250	6.14
2081				055921.8	+495528	5.89
2082				055452.5	-395729	5.57
2083				055410.7	-502143	6.52
2084	139		Tau	055759.7	+255714	4.82
2085	16	Eta	Lep	055624.3	-141004	3.71
2086				055614.3	-225025	5.96
2087		Xi	Col	055529.9	-370715	4.97
2088	34	Bet	Aur	055931.7	+445651	1.90
2089				055441.1	-493737	6.10
2090				055634.5	-231256	6.36
2091	35	Pi	Aur	055956.1	+455613	4.26
2092		Sig	Col	055620.9	-312257	5.50
2093				055754.2	+011328	6.22
2094				055450.2	-523807	5.29
2095	37	The	Aur	055943.3	+371245	2.62
2096				060019.0	+443531	6.22
2097				055811.7	-005939	6.22
2098				055649.0	-315834	6.44
2099				055853.2	+124831	5.70
2100	59		Ori	055824.4	+015013	5.90
2101	36		Aur	060058.6	+475407	5.73
2102				055406.1	-630524	4.65
2103	60		Ori	055849.6	+003311	5.22
2104				055411.9	-642856	6.63
2105				060143.1	+485734	5.96
2106		Gam	Col	055732.2	-351700	4.36
2107	1		Mon	055901.0	-092256	6.12
2108	2		Mon	055904.3	-093330	5.03
2109				055937.7	-012640	6.63
2110				060110.2	+310205	5.98
2111				060100.4	+273420	6.05
2112				060248.7	+495420	6.05
2113				060003.4	-030427	4.53
2114				055714.4	-532534	6.45
2115				060253.6	+432243	6.42
2116				060141.6	+222403	6.37
2117				055837.6	-440204	5.81
2118				060017.7	-125359	6.22
2119	38		Aur	060318.0	+425442	6.10
2120		Eta	Col	055908.8	-424855	3.96
2121				060508.3	+592335	6.34
2122				060255.1	+323809	6.24
2123				060429.1	+513424	6.45
2124	61	Mu	Ori	060223.0	+093851	4.12
2125		Kap	Men	055016.7	-792141	5.47
2126				060639.2	+632713	6.39
2127				060217.1	+014140	6.59
2128	3		Mon	060150.4	-103553	4.95
2129				060113.1	-252504	6.05
2130	64		Ori	060327.3	+194126	5.14
2131				060116.4	-335442	5.55
2132	39		Aur	060503.4	+425854	5.87
2133				060324.7	+114051	6.08
2134	1		Gem	060407.2	+231548	4.16
2135	62	Chi2	Ori	060355.2	+200818	4.63
2136				060233.8	-142950	6.20
2137				060502.6	+375751	6.34
2138				060049.2	-511259	5.67
2139				060534.0	+333557	6.23
2140				060315.5	-261704	5.04
2141				060608.5	+352315	6.12
2142				060413.5	-064233	5.21
2143	40		Aur	060635.1	+382858	5.36
2144	63		Ori	060458.2	+052512	5.67
2145	66		Ori	060458.4	+040931	5.63
2146				060622.5	+293045	6.08
2147				060726.9	+415115	6.12
2148	17		Lep	060459.1	-162904	4.93
2149				060420.3	-321021	5.65
2150				060527.0	-101434	5.87
2151				060209.2	-600549	6.45
2152	37		Cam	060959.1	+585609	5.36
2153				060823.0	+410320	6.36
2154				060638.7	-041138	5.38
2155	18	The	Lep	060609.3	-145607	4.67
2156				060545.7	-241144	6.95
2157				060428.4	-450212	6.35
2158				060440.2	-450444	5.93
2159	67	Nu	Ori	060734.3	+144606	4.42
2160				060527.1	-353049	5.80
2161				060651.9	-111025	6.66
2162				060446.9	-482731	6.58
2163				060632.0	-230638	5.47
2164				060605.5	-294531	5.81
2165	36		Cam	061251.1	+654306	5.32
2166				060657.6	-214846	5.78
2167				060847.2	+084012	6.55
2168	19		Lep	060741.6	-190957	5.31
2169				060932.4	+221124	5.93
2170				060703.7	-341843	5.83
2171		Pi 1	Col	060641.0	-421755	6.12
2172				061146.0	+523850	6.30
2173	3		Gem	060944.0	+230648	5.75
2174				060857.9	+022958	5.73
2175	41		Aur	061136.5	+484247	6.82
2176	41		Aur	061136.6	+484240	6.09
2177		The	Col	060731.6	-371511	5.02
2178				060701.9	-450529	6.51
2179				060936.2	-054240	6.17
2180				060857.9	-222539	5.50
2181		Pi 2	Col	060752.9	-420914	5.50
2182				060920.3	-180734	6.35
2183				060934.3	-143503	5.56
2184				061101.8	+180746	6.33
2185	5		Gem	061132.3	+242513	5.80
2186				060947.9	-224627	5.71
2187				060834.6	-442122	6.27
2188				061345.3	+511021	6.04
2189				061220.1	+324136	5.78
2190				061151.4	+215207	6.56
2191				061127.9	+133819	6.04
2192				060947.2	-264203	6.27
2193	68		Ori	061201.3	+194726	5.75
2194		Eta1	Dor	060609.4	-660223	5.71
2195				061101.3	-064515	6.15
2196				060703.4	-620917	5.05
2197	6		Gem	061219.1	+225430	6.39
2198	69		Ori	061203.3	+160750	4.95
2199	70	Xi	Ori	061156.4	+141232	4.48
2200				061034.6	-270915	5.72
2201	40		Cam	061540.6	+595957	5.35
2202				061143.7	-043956	6.18
2203				061010.3	-402113	5.58
2204				060923.3	-493346	6.49
2205				061151.8	-063301	5.05
2206				061113.5	-262856	6.09
2207				061333.4	+184049	6.58
2208				061312.6	+103739	6.45
2209				061850.8	+691911	4.80
2210				061244.4	-023016	6.62
2211				061039.9	-451655	6.31
2212		Del	Pic	061017.9	-545807	4.81
2213				061246.3	-174547	6.52
2214				061428.6	+175423	5.88
2215	1		Lyn	061754.8	+613055	4.98
2216	7	Eta	Gem	061452.6	+223024	3.28
2217				061539.0	+360855	6.92
2218				061354.3	-034429	5.83
2219	44	Kap	Aur	061522.7	+292953	4.35
2220	71		Ori	061450.9	+190923	5.20
2221		Nu	Dor	060844.2	-685036	5.06
2222				061508.5	+135104	5.91
2223	72		Ori	061525.1	+160835	5.30
2224				061436.7	-043406	5.83
2225				061345.1	-235143	6.39
2226				061333.3	-292346	6.54
2227	5	Gam	Mon	061451.3	-061629	3.98
2228	42		Aur	061734.7	+462527	6.52
2229	73		Ori	061545.0	+123304	5.33
2230	8		Gem	061619.0	+235812	6.08
2231				061540.1	+060358	6.07
2232				061547.0	+041701	6.64
2233				061534.3	-003044	5.65
2234				061529.7	-045455	5.99
2235				061623.8	+171053	6.39
2236				061554.0	+011009	6.37
2237				061526.0	-090207	6.10
2238	2		Lyn	061937.4	+590039	4.48
2239	43		Aur	061816.9	+462138	6.38
2240	9		Gem	061658.7	+234427	6.25
2241	74		Ori	061626.6	+121620	5.04
2242				061508.4	-201620	5.91
2243				061517.5	-182836	5.99
2244				061544.9	-134306	5.01
2245		Eta2	Dor	061115.0	-653522	5.01
2246				061621.2	+010449	6.63
2247	75		Ori	061706.6	+095633	5.39
2248				061658.4	+070311	6.57
2249				061607.7	-163704	5.92
2250				061733.3	+140330	6.59
2251				061716.1	+050601	5.71
2252				061557.2	-294718	6.67
2253				061805.6	+142258	6.16
2254				061703.5	-224254	6.07
2255	6		Mon	061735.2	-104331	6.75
2256		Kap	Col	061633.1	-350826	4.37
2257	4		Lyn	062203.6	+592220	5.94
2258				061901.8	+171930	6.32
2259				061840.5	+090250	6.24
2260				061741.7	-164857	5.14
2261		Alp	Men	061014.4	-744511	5.09
2262				061635.6	-391552	6.00
2263				061701.2	-374415	5.53
2264	45		Aur	062146.1	+532708	5.36
2265				061709.5	-371511	5.87
2266				061813.7	-195801	5.52
2267				061850.6	-092325	5.36
2268				061848.8	-150129	6.06
2269				062004.2	+143904	5.69
2270				061907.9	-083511	6.22
2271				061859.0	-205534	5.81
2272				062112.1	+293228	6.43
2273	7		Mon	061942.8	-074923	5.27
2274				061618.5	-591249	6.43
2275				061959.6	-025640	4.90
2276				062052.3	+114523	6.54
2277				062125.9	+174549	6.35
2278				061751.7	-524359	6.41
2279				061941.0	-342348	5.78
2280				062125.8	+021607	6.31
2281				061846.8	-502133	7.04
2282	1	Zet	CMa	062018.8	-300348	3.02
2283				061505.9	-714210	6.64
2284				062124.7	-114624	5.64
2285				062814.6	+703208	5.97
2286	13	Mu	Gem	062257.6	+223049	2.88
2287				062236.5	+123412	6.00
2288				062036.3	-340838	5.53
2289	46	Psi1	Aur	062453.9	+491717	4.91
2290				062006.1	-484428	6.60
2291				062625.8	+561706	5.64
2292				062318.5	+034552	6.40
2293	5		Lyn	062648.9	+582502	5.21
2294	2	Bet	CMa	062242.0	-175721	1.98
2295				062322.7	-044114	6.67
2296		Del	Col	062206.8	-332611	3.85
2297				062452.6	+294226	6.71
2298	8	Eps	Mon	062346.1	+043534	4.44
2299				062346.5	+043544	6.72
2300				062402.3	+085305	6.26
2301				062336.0	-095228	6.19
2302				062452.9	+160325	6.33
2303				062346.0	-150418	6.24
2304				062532.9	+231937	6.06
2305				062410.3	-113149	5.22
2306				062347.6	-194707	6.60
2307				062314.4	-314724	6.34
2308				062528.1	+144319	6.24
2309				062420.5	-125745	6.12
2310				062513.1	+070509	5.98
2311				062355.9	-253440	5.63
2312				062518.4	+013004	6.66
2313				062516.4	-005646	5.87
2314				062751.1	+472419	6.56
2315				062546.6	+021620	6.51
2316				062401.0	-364228	5.62
2317				062547.1	-035321	6.35
2318				062443.9	-284648	6.39
2319				062735.5	+323347	6.43
2320		Nu	Pic	062255.8	-562212	5.61
2321				062558.8	-075339	6.40
2322				062337.7	-521052	5.98
2323				062444.5	-401703	6.31
2324				062639.6	-013026	5.87
2325				062634.5	-043550	6.15
2326		Alp	Car	062357.1	-524145	0.72
2327				062658.7	+005027	6.71
2328				062644.9	-073041	6.27
2329				062529.9	-350350	6.25
2330	16		Gem	062756.6	+202946	6.22
2331	6		Lyn	063047.2	+580946	5.88
2332	48		Aur	062834.1	+302935	5.55
2333				062720.4	+025429	5.55
2334				062713.8	+001757	5.20
2335				062715.6	-001634	5.55
2336				062346.9	-583238	6.48
2337				062301.3	-634059	6.27
2338	47		Aur	063003.0	+464108	5.90
2339				062856.6	+265804	6.47
2340				062828.0	+161418	6.23
2341				062448.2	-524823	6.51
2342				062818.8	+101814	6.15
2343	18	Nu	Gem	062857.8	+201244	4.15
2344	10		Mon	062757.6	-044544	5.06
2345				062413.7	-601652	5.80
2346				064016.8	+793558	6.54
2347				062816.8	+015444	6.48
2348				062543.6	-481038	5.76
2349				062711.2	-255124	6.07
2350				064430.2	+820655	6.65
2351				062900.0	+110110	6.59
2352		Pi 1	Dor	062238.2	-695903	5.56
2353				062707.5	-375344	6.48
2354				062426.3	-632544	6.46
2355				062914.9	+023846	6.16
2356	11	Bet	Mon	062849.0	-070158	4.60
2357	11	Bet	Mon	062849.5	-070204	5.40
2358	11	Bet	Mon	062849.5	-070204	5.60
2359				062837.3	-172758	5.77
2360				062455.6	-634940	6.27
2361		Lam	CMa	062810.1	-323448	4.48
2362				063005.5	+090145	6.57
2363				064028.8	+775945	5.73
2364				062839.2	-322216	5.74
2365				063754.9	+734144	6.24
2366				063110.1	+165619	6.20
2367				063011.3	-100453	5.93
2368				062842.3	-410428	6.32
2369				062704.0	-580008	5.82
2370				063109.5	+111503	6.14
2371	19		Gem	063137.4	+155412	6.40
2372				063227.2	+322717	5.87
2373				063034.7	-130853	6.16
2374				063139.2	+114732	6.65
2375				063148.3	+113240	5.23
2376	7		Lyn	063432.8	+552111	6.45
2377		Pi 2	Dor	062528.6	-694125	5.38
2378				063223.3	+114025	6.03
2379				063123.0	-122330	5.15
2380				063046.3	-274610	5.93
2381				063150.1	-080929	5.43
2382	12		Mon	063219.2	+045121	5.84
2383				063342.7	+330127	6.42
2384				062949.1	-501421	5.27
2385	13		Mon	063254.2	+071959	4.50
2386				063223.1	-055208	5.60
2387	4	Xi 1	CMa	063151.3	-232506	4.33
2388				063113.0	-351533	5.84
2389				062928.5	-565110	5.22
2390				063059.8	-405459	6.20
2391				063336.1	+140919	5.53
2392				063246.9	-110959	6.24
2393				063135.0	-365624	6.34
2394	8		Lyn	063741.4	+612852	5.94
2395				063337.9	-011313	5.10
2396				064032.2	+714456	5.92
2397				063239.0	-320150	5.69
2398	49		Aur	063512.1	+280120	5.27
2399				063221.3	-374148	5.24
2400				063118.3	-514934	5.60
2401				064614.1	+793353	5.45
2402	11		Lyn	063738.5	+565127	5.85
2403				063326.6	-205526	6.40
2404	14		Mon	063446.4	+073421	6.45
2405				063632.9	+382643	5.29
2406				063517.6	+095918	5.88
2407				063310.3	-383731	6.44
2408				063003.0	-653406	6.29
2409				063515.8	+005324	5.80
2410				063110.6	-615247	6.15
2411				063349.5	-361356	5.42
2412		Mu	Pic	063158.4	-584515	5.70
2413				063600.0	+042951	6.55
2414	5	Xi 2	CMa	063503.4	-225753	4.54
2415				063435.3	-324259	5.62
2416				063326.1	-521944	6.19
2417				063727.2	+243527	6.44
2418				063635.3	-051240	5.52
2419	51		Aur	063839.5	+392327	5.69
2420	52	Psi3	Aur	063849.2	+395409	5.20
2421	24	Gam	Gem	063742.7	+162357	1.93
2422				063724.1	+060807	6.06
2423	6	Nu 1	CMa	063622.8	-183936	5.70
2424				063524.1	-364648	5.59
2425	53		Aur	063823.0	+285903	5.79
2426				063736.9	+105111	6.38
2427	50	Psi2	Aur	063919.9	+422920	4.79
2428				063646.7	-131915	5.97
2429	7	Nu 2	CMa	063641.0	-191521	3.95
2430				063740.3	+024215	6.17
2431				063554.0	-360520	6.35
2432				063752.7	+045726	6.15
2433				063640.9	-223654	6.35
2434				063958.0	+440050	6.41
2435				063458.6	-525832	4.39
2436				063905.3	+220151	6.04
2437				063740.9	-125906	6.12
2438	54		Aur	063933.1	+281547	6.03
2439				063931.4	+243600	6.38
2440				063820.5	-023237	6.14
2441				063849.5	+044202	6.57
2442				063838.1	+013649	6.21
2443	8	Nu 3	CMa	063753.4	-181415	4.43
2444				063701.9	-380848	6.04
2445				063651.3	-413325	6.34
2446				063713.8	-365926	5.71
2447				063747.6	-322023	5.27
2448				063835.4	-165225	6.03
2449				063947.6	+125859	5.97
2450				063916.7	-140845	4.82
2451		Nu	Pup	063745.7	-431146	3.17
2452				064137.7	+355555	6.46
2453	25		Gem	064121.0	+281147	6.42
2454				064031.8	+062218	6.51
2455				063936.3	-234144	6.05
2456	15		Mon	064058.7	+095344	4.66
2457				064121.8	+162351	6.28
2458				064117.2	+110012	6.11
2459	55	Psi4	Aur	064305.0	+443128	5.02
2460				063942.7	-302813	5.71
2461				064105.4	+002943	5.79
2462				063837.6	-481313	4.93
2463				064411.6	+531747	6.27
2464				064313.8	+370849	6.19
2465				063956.9	-380932	6.58
2466	26		Gem	064224.3	+173843	5.21
2467				064159.3	+062042	6.37
2468				063800.6	-613159	6.18
2469				064156.4	-091002	5.19
2470	12		Lyn	064614.1	+592630	4.87
2471				064412.6	+360635	6.31
2472	NO	VA 1	903			
2473	27	Eps	Gem	064355.9	+250752	2.98
2474				064306.5	+030200	6.19
2475				064114.1	-402059	6.12
2476				064049.3	-474029	6.65
2477	13		Lyn	064649.5	+571009	5.35
2478	30		Gem	064359.3	+131340	4.49
2479				064338.7	+035556	5.90
2480	28		Gem	064445.5	+285815	5.44
2481				064245.8	-222657	6.13
2482				064216.4	-382355	6.29
2483	56	Psi5	Aur	064644.3	+433439	5.25
2484	31	Xi	Gem	064517.4	+125344	3.36
2485				064812.9	+554216	6.33
2486				064812.3	+554216	6.28
2487	57	Psi6	Aur	064739.6	+484722	5.22
2488				064323.3	-391136	6.30
2489	32		Gem	064554.2	+124137	6.46
2490	42		Cam	065057.1	+673419	5.14
2491	9	Alp	CMa	064508.9	-164258	1.46
2492	10		CMa	064428.4	-310414	5.20
2493				064451.9	-272029	6.45
2494	16		Mon	064632.4	+083514	5.93
2495				064523.3	-232743	6.05
2496	N	GC 2	281			
2497				064502.4	-303510	6.54
2498				064559.3	-144746	5.32
2499				064723.5	+181136	6.20
2500				064522.8	-314737	5.92
2501				064531.3	-305656	5.80
2502				064639.0	-100626	5.66
2503	17		Mon	064719.8	+080214	4.77
2504	11		CMa	064651.1	-142533	5.29
2505				064057.8	-714632	6.51
2506	18		Mon	064751.6	+022444	4.47
2507				064603.3	-393224	6.62
2508				064737.1	-085954	5.07
2509	12		CMa	064701.5	-210056	6.08
2510				064612.1	-374632	6.21
2511	43		Cam	065342.2	+685318	5.12
2512				064941.3	+323624	5.71
2513				064526.1	-521204	6.57
2514				064819.0	-011909	5.75
2515				064553.7	-522436	5.80
2516	58	Psi7	Aur	065045.9	+414653	5.02
2517				064903.7	+010007	6.15
2518				064721.4	-375547	5.26
2519	33		Gem	064949.8	+161210	5.85
2520	14		Lyn	065305.1	+592655	5.33
2521				064916.4	-021619	5.74
2522				064857.8	-150841	5.39
2523				064652.8	-511557	5.40
2524				064641.5	-544141	6.46
2525	35		Gem	065025.5	+132448	5.65
2526				064718.7	-553224	5.61
2527				070004.0	+765839	4.55
2528				064944.0	-240433	6.33
2529	36		Gem	065133.0	+214540	5.27
2530				065049.9	-003227	5.77
2531				064336.8	-730705	6.37
2532				065307.6	+445022	6.26
2533				065200.0	+233606	5.65
2534				065042.3	-080228	6.29
2535				065021.9	-170502	5.79
2536				064456.1	-702602	6.11
2537				065006.0	-272002	7.04
2538	13	Kap	CMa	064950.5	-323031	3.96
2539	59		Aur	065301.5	+385209	6.12
2540	34	The	Gem	065247.3	+335740	3.60
2541	60		Aur	065313.4	+382617	6.30
2542				065303.4	+354719	6.01
